GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bonoParcial,escuelaing.edu.arep.bonoParcial.model,User,12,0,0,0,5,0,1,0,1,0
bonoParcial,escuelaing.edu.arep.bonoParcial.model,Property,15,0,0,0,6,0,1,0,1,0
bonoParcial,escuelaing.edu.arep.bonoParcial.Service.Impl,PropertyService,7,138,0,2,0,39,1,10,1,9
bonoParcial,escuelaing.edu.arep.bonoParcial.Service.Impl,UserService,131,0,16,0,26,0,14,0,6,0
bonoParcial,escuelaing.edu.arep.bonoParcial.Controller,PropertyController,6,79,1,1,1,23,1,6,0,6
bonoParcial,escuelaing.edu.arep.bonoParcial.Controller,UserController,32,0,0,0,11,0,3,0,3,0
bonoParcial,escuelaing.edu.arep.bonoParcial.Controller,viewController,5,0,0,0,2,0,2,0,2,0
bonoParcial,escuelaing.edu.arep.bonoParcial.Exception,PropertyException,5,4,0,0,2,2,1,1,1,1
bonoParcial,escuelaing.edu.arep.bonoParcial.Exception,UserException,4,0,0,0,2,0,1,0,1,0
bonoParcial,escuelaing.edu.arep.bonoParcial,BonoParcialApplication,8,0,0,0,3,0,2,0,2,0
